[Links],,,,,,,,,,,,,,,,,,,,,,,
Link Data,,,,,,,,,,,,,,,,,,,,,,,
RECORDNAME,INTID,NB,SB,EB,WB,NW,SE,,,,,,,,,,,,,,,,
Up ID,1,101,2,102,103,,,,,,,,,,,,,,,,,,
Lanes,1,3,3,2,3,,,,,,,,,,,,,,,,,,
Name,1,SR 85,SR 85,Ramah Road,SR 92,,,,,,,,,,,,,,,,,,
Distance,1,620,1609,980,1124,,,,,,,,,,,,,,,,,,
Speed,1,45,45,30,30,,,,,,,,,,,,,,,,,,
Time,1,9.4,24.4,22.3,25.5,,,,,,,,,,,,,,,,,,
Grade,1,0,0,0,0,,,,,,,,,,,,,,,,,,
Median,1,12,12,12,12,,,,,,,,,,,,,,,,,,
Offset,1,0,0,0,0,,,,,,,,,,,,,,,,,,
TWLTL,1,0,0,0,0,,,,,,,,,,,,,,,,,,
Crosswalk Width,1,16,16,16,16,,,,,,,,,,,,,,,,,,
Mandatory Distance,1,500,500,500,500,,,,,,,,,,,,,,,,,,
Mandatory Distance2,1,1980,1980,1320,1320,,,,,,,,,,,,,,,,,,
Positioning Distance,1,1320,1320,880,880,,,,,,,,,,,,,,,,,,
Positioning Distance2,1,2640,2640,1760,1760,,,,,,,,,,,,,,,,,,
Curve Pt X,1,,,,,,,,,,,,,,,,,,,,,,
Curve Pt Y,1,,,,,,,,,,,,,,,,,,,,,,
Curve Pt Z,1,,,,,,,,,,,,,,,,,,,,,,
Link Is Hidden,1,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,
Street Name Is Hidden,1,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,
Up ID,2,1,18,104,105,,,,,,,,,,,,,,,,,,
Lanes,2,3,3,2,2,,,,,,,,,,,,,,,,,,
Name,2,SR 85,SR 85,Summit Point,Summit Point,,,,,,,,,,,,,,,,,,
Distance,2,1609,1993,776,828,,,,,,,,,,,,,,,,,,
Speed,2,45,45,30,30,,,,,,,,,,,,,,,,,,
Time,2,24.4,30.2,17.6,18.8,,,,,,,,,,,,,,,,,,
Grade,2,0,0,0,0,,,,,,,,,,,,,,,,,,
Median,2,12,12,12,12,,,,,,,,,,,,,,,,,,
Offset,2,0,0,0,0,,,,,,,,,,,,,,,,,,
TWLTL,2,0,0,0,0,,,,,,,,,,,,,,,,,,
Crosswalk Width,2,16,16,16,16,,,,,,,,,,,,,,,,,,
Mandatory Distance,2,500,500,500,500,,,,,,,,,,,,,,,,,,
Mandatory Distance2,2,1980,1980,1320,1320,,,,,,,,,,,,,,,,,,
